Stock,Buy Date,Buy Price,Sell Price,Return Rate
HB테크놀러지,2009-03-24,550,550,0.0
HB테크놀러지,2013-10-04,1800,1845,2.5
블루탑,2019-11-06,39550,38400,-2.9077117572692797
SHD,2000-08-09,5402,5197,-3.7948907811921515
아우딘퓨쳐스,2022-12-13,3105,2750,-11.43317230273752
대호특수강,2010-03-11,11810,10950,-7.281964436917867
메타랩스,2010-12-27,92875,89855,-3.2516823687752354
아미노로직스,2007-06-15,5561,4745,-14.673619852544507
광무,2019-06-21,6705,6025,-10.141685309470544
웅진씽크빅,2020-01-02,2808,2699,-3.881766381766382
